marathon,edition,date,location
Boston Marathon,1897 Boston Marathon,1897-04-19,Boston
Boston Marathon,1898 Boston Marathon,1898-04-19,Boston
Boston Marathon,1899 Boston Marathon,1899-04-19,Boston
Boston Marathon,1900 Boston Marathon,1900-04-19,Boston
Boston Marathon,1901 Boston Marathon,1901-04-19,Boston
Boston Marathon,1902 Boston Marathon,1902-04-19,Boston
Boston Marathon,1903 Boston Marathon,1903-04-20,Boston
Boston Marathon,1904 Boston Marathon,1904-04-19,Boston
Boston Marathon,1905 Boston Marathon,1905-04-19,Boston
Boston Marathon,1906 Boston Marathon,1906-04-19,Boston
Boston Marathon,1907 Boston marathon,1907-04-19,Boston
Boston Marathon,1908 Boston Marathon,1908-04-20,Boston
Boston Marathon,1909 Boston Marathon,1909-04-19,Boston
Boston Marathon,1910 Boston Marathon,1910-04-19,Boston
Boston Marathon,1911 Boston Marathon,1911-04-19,Boston
Boston Marathon,1912 Boston Marathon,1912-04-19,Boston
Boston Marathon,1913 Boston Marathon,1913-04-19,Boston
Boston Marathon,1914 Boston Marathon,1914-04-20,Boston
Boston Marathon,1915 Boston Marathon,1915-04-19,Boston
Boston Marathon,1916 Boston Marathon,1916-04-19,Boston
Boston Marathon,1917 Boston Marathon,1917-04-19,Boston
Boston Marathon,1918 Boston Marathon,1918-04-19,Boston
Boston Marathon,1919 Boston Marathon,1919-04-19,Boston
Boston Marathon,1920 Boston Marathon,1920-04-19,Boston
Boston Marathon,1921 Boston Marathon,1921-04-19,Boston
Boston Marathon,1922 Boston Marathon,1922-04-19,Boston
Boston Marathon,1923 Boston Marathon,1923-04-19,Boston
Boston Marathon,1924 Boston Marathon,1924-04-19,Boston
Boston Marathon,1925 Boston Marathon,1925-04-20,Boston
Boston Marathon,1926 Boston Marathon,1926-04-19,Boston
Boston Marathon,1927 Boston Marathon,1927-04-19,Boston
Boston Marathon,1928 Boston Marathon,1928-04-19,Boston
Boston Marathon,1929 Boston Marathon,1929-04-19,Boston
Boston Marathon,1930 Boston Marathon,1930-04-19,Boston
Boston Marathon,1931 Boston Marathon,1931-04-20,Boston
Boston Marathon,1932 Boston Marathon,1932-04-19,Boston
Boston Marathon,1933 Boston Marathon,1933-04-19,Boston
Boston Marathon,1934 Boston Marathon,1934-04-19,Boston
Boston Marathon,1935 Boston Marathon,1935-04-19,Boston
Boston Marathon,1936 Boston Marathon,1936-04-20,Boston
Boston Marathon,1937 Boston Marathon,1937-04-19,Boston
Boston Marathon,1938 Boston Marathon,1938-04-19,Boston
Boston Marathon,1939 Boston Marathon,1939-04-19,Boston
Boston Marathon,1940 Boston Marathon,1940-04-19,Boston
Boston Marathon,1941 Boston Marathon,1941-04-19,Boston
Boston Marathon,1942 Boston Marathon,1942-04-19,Boston
Boston Marathon,1943 Boston Marathon,1943-04-18,Boston
Boston Marathon,1944 Boston Marathon,1944-04-19,Boston
Boston Marathon,1945 Boston Marathon,1945-04-19,Boston
Boston Marathon,1946 Boston Marathon,1946-04-20,Boston
Boston Marathon,1947 Boston Marathon,1947-04-19,Boston
Boston Marathon,1948 Boston Marathon,1948-04-19,Boston
Boston Marathon,1949 Boston Marathon,1949-04-19,Boston
Boston Marathon,1950 Boston Marathon,1950-04-19,Boston
Boston Marathon,1951 Boston Marathon,1951-04-19,Boston
Boston Marathon,1952 Boston Marathon,1952-04-19,Boston
Boston Marathon,1953 Boston Marathon,1953-04-20,Boston
Boston Marathon,1954 Boston Marathon,1954-04-19,Boston
Boston Marathon,1955 Boston Marathon,1955-04-19,Boston
Boston Marathon,1956 Boston Marathon,1956-04-19,Boston
Boston Marathon,1957 Boston Marathon,1957-04-20,Boston
Boston Marathon,1958 Boston Marathon,1958-04-19,Boston
Boston Marathon,1959 Boston Marathon,1959-04-20,Boston
Boston Marathon,1960 Boston Marathon,1960-04-19,Boston
Boston Marathon,1961 Boston Marathon,1961-04-19,Boston
Boston Marathon,1962 Boston Marathon,1962-04-19,Boston
Boston Marathon,1963 Boston Marathon,1963-04-19,Boston
Boston Marathon,1964 Boston Marathon,1964-04-20,Boston
Boston Marathon,1965 Boston Marathon,1965-04-19,Boston
Boston Marathon,1966 Boston Marathon,1966-04-19,Boston
Boston Marathon,1967 Boston Marathon,1967-04-19,Boston
Boston Marathon,1968 Boston Marathon,1968-04-19,Boston
Boston Marathon,1969 Boston Marathon,1969-04-21,Boston
Boston Marathon,1970 Boston Marathon,1970-04-20,Boston
Boston Marathon,1971 Boston Marathon,1971-04-19,Boston
Boston Marathon,1972 Boston Marathon,1972-04-17,Boston
Boston Marathon,1973 Boston Marathon,1973-04-16,Boston
Boston Marathon,1974 Boston Marathon,1974-04-15,Boston
Boston Marathon,1975 Boston Marathon,1975-04-21,Boston
Boston Marathon,1976 Boston Marathon,1976-04-19,Boston
Boston Marathon,1977 Boston Marathon,1977-04-18,Boston
Boston Marathon,1978 Boston Marathon,1978-04-17,Boston
Boston Marathon,1979 Boston Marathon,1979-04-16,Boston
Boston Marathon,1980 Boston Marathon,1980-04-21,Boston
Boston Marathon,1981 Boston Marathon,1981-04-20,Boston
Boston Marathon,1982 Boston Marathon,1982-04-19,Boston
Boston Marathon,1983 Boston Marathon,1983-04-18,Boston
Boston Marathon,1984 Boston Marathon,1984-04-16,Boston
Boston Marathon,1985 Boston Marathon,1985-04-15,Boston
Boston Marathon,1986 Boston Marathon,1986-04-21,Boston
Boston Marathon,1987 Boston Marathon,1987-04-20,Boston
Boston Marathon,1988 Boston Marathon,1988-04-18,Boston
Boston Marathon,1989 Boston Marathon,1989-04-17,Boston
Boston Marathon,1990 Boston Marathon,1990-04-16,Boston
Boston Marathon,1991 Boston Marathon,1991-04-15,Boston
Boston Marathon,1992 Boston Marathon,1992-04-20,Boston
Boston Marathon,1993 Boston Marathon,1993-04-19,Boston
Boston Marathon,1994 Boston Marathon,1994-04-18,Boston
Boston Marathon,1995 Boston Marathon,1995-04-17,Boston
Boston Marathon,1996 Boston Marathon,1996-04-15,Boston
Boston Marathon,1997 Boston Marathon,1997-04-21,Boston
Boston Marathon,1998 Boston Marathon,1998-04-20,Boston
Boston Marathon,1999 Boston Marathon,1999-04-19,Boston
